"State","taxRank","incomeTax","salesTax","propertyTax"
"Alabama",15,5,4,432
"Alaska",2,0,0,1432
"Arizona",18,"4.5400","5.6000",754
"Arkansas",39,7,"6.5000",658
"California",51,"13.3000","7.5000",841
"Colorado",12,"4.6300","2.9000",607
"Connecticut",37,"6.7000","6.3500",2114
"Delaware",14,"6.6000",0,604
"District of Columbia",45,"8.9500","5.7500",603
"Florida",5,0,6,1041
"Georgia",26,6,4,1000
"Hawaii",49,11,4,304
"Idaho",42,"7.4000",6,796
"Illinois",24,5,"6.2500",2408
"Indiana",13,"3.4000",7,907
"Iowa",47,"8.9800",6,1678
"Kansas",22,"4.8000","6.5000",1491
"Kentucky",33,6,6,925
"Louisiana",25,6,4,555
"Maine",43,"7.9500","5.5000",1424
"Maryland",32,"5.7500",6,1125
"Massachusetts",30,"5.2000","6.2500",1294
"Michigan",16,"4.2500",6,1729
"Minnesota",50,"9.8500","6.8800",1224
"Mississippi",31,5,7,862
"Missouri",27,6,"4.2300",1026
"Montana",17,"6.9000",0,892
"Nebraska",36,"6.8400","5.5000",1855
"Nevada",8,0,"6.8500",693
"New Hampshire",1,0,0,2296
"New Jersey",48,"8.9700",7,2530
"New Mexico",20,"4.9000","5.1300",830
"New York",44,"8.8200",4,1812
"North Carolina",28,"5.8000","4.7500",894
"North Dakota",10,"3.2200",5,894
"Ohio",29,"5.3900","5.7500",1641
"Oklahoma",21,"5.2500","4.5000",974
"Oregon",41,"9.9000",0,1121
"Pennsylvania",11,"3.0700",6,1674
"Rhode Island",34,"5.9900",7,1723
"South Carolina",38,7,6,601
"South Dakota",4,0,4,1388
"Tennessee",9,0,7,768
"Texas",6,0,"6.2500",1993
"Utah",19,5,"4.7000",713
"Vermont",46,"8.9500",6,1908
"Virginia",23,"5.7500","4.3000",858
"Washington",7,0,"6.5000",1125
"West Virginia",35,"6.5000",6,615
"Wisconsin",40,"7.6500",5,615
"Wyoming",3,0,4,635
