State,Population,CostIndex,Debt,Growth,EmploymentRate,AirQualityIndex,RegistrationCost,CostRank,GroceryCost,HousingCost,UtilitiesCost,TransportationCost,MiscCost,HomicideRate,FirearmDeathRate,FirearmDeaths,PerCapita,EducationRank,HigherEducationRank,PreK12Rank,White,Black,Hispanic,Asian,MultiRaces,TotalHomeless,TotalHouseholds,TotalVeterans,TotalYoungAdults,Population2018,Population2010,GrowthSince2010,Density,OutdoorRecreation,Retail,IndoorRecreation,Food,TaxRank,IncomeTax,SalesTax,PropertyTax,AverageACTScore,MeetingEnglish,MeetingReading,MeetingMath,MeetingScience
Alabama,4908621,89.3,8772871.0,0.0042,0.973,46.6,24.25,11,97.4,71.5,103.3,88.6,90.8,8.3,21.5,1046.0,1787.0,50.0,47.0,49.0,0.66,0.26,0.04,0.01,0.02,3261,236,292,320,4887871,4785448,0.0257,96.9221,2083927,656008,206113,383589,15,5.0,4.0,432,19.1,51,35,23,24
Alaska,734002,129.9,5921713.0,-0.0047,0.9390000000000001,29.1,100.0,45,134.2,133.9,154.2,130.8,150.9,8.4,23.3,177.0,8068.0,47.0,36.0,47.0,0.6,0.03,0.07,0.06,0.07,1907,161,111,176,737438,713906,0.0281,1.2863,1030701,202798,100387,202056,2,0.0,0.0,1432,20.8,60,49,42,36
Arizona,7378494,97.0,14291349.0,0.0288,0.9540000000000001,45.4,8.0,24,96.9,91.7,107.4,109.6,94.7,5.9,15.2,1094.0,1937.0,40.0,24.0,44.0,0.54,0.04,0.32,0.03,0.02,10007,745,910,587,7171646,6407774,0.1515,64.955,4327385,1033321,748683,881278,18,4.54,5.6,754,19.2,47,35,32,27
Arkansas,3038999,86.9,4801939.0,0.0084,0.9640000000000001,43.1,17.0,2,92.0,73.9,91.8,83.6,85.6,8.6,17.8,541.0,1580.0,42.0,40.0,40.0,0.72,0.15,0.08,0.02,0.03,2717,132,238,336,3013825,2921978,0.04,58.403,1390053,380557,155889,196088,39,7.0,6.5,658,19.4,53,36,27,26
California,39937489,151.7,152772292.0,0.0096,0.961,46.0,86.0,49,121.4,227.3,117.7,138.9,114.5,4.6,7.9,3184.0,3825.0,21.0,4.0,37.0,0.37,0.05,0.39,0.15,0.03,151278,7044,10980,11993,39557045,37320903,0.0701,256.3727,27383466,5804727,5275931,3432888,51,13.3,7.5,841,22.7,72,56,53,46
Colorado,5845526,105.6,16980689.0,0.0263,0.975,47.1,125.0,33,102.5,119.0,88.4,101.2,102.9,3.9,14.3,812.0,2905.0,11.0,9.0,14.0,0.68,0.04,0.22,0.03,0.03,9619,719,1068,545,5695564,5048281,0.1579,56.4011,5963912,1200145,1269076,1098658,12,4.63,2.9,607,23.9,82,65,61,57
Connecticut,3563077,127.7,38756156.0,-0.0027,0.963,45.0,88.0,43,114.2,144.7,128.1,111.8,113.7,2.8,4.6,172.0,10877.0,12.0,44.0,5.0,0.66,0.10,0.17,0.05,0.02,3033,305,195,196,3572665,3579125,-0.0045,735.8689,1923607,523014,339726,213537,37,6.7,6.35,2114,25.6,90,75,71,67
Delaware,982895,108.1,4561576.0,0.0163,0.961,46.4,40.0,35,113.4,98.2,96.5,107.0,101.6,5.6,11.0,111.0,4641.0,23.0,16.0,24.0,0.62,0.21,0.09,0.04,0.03,921,116,65,42,967171,899595,0.0926,504.3073,611026,222975,62596,169369,14,6.6,0.0,604,23.8,79,64,59,56
Florida,21992985,97.9,28823847.0,0.0326,0.97,38.9,225.0,26,104.0,95.4,102.2,96.7,96.9,5.0,12.6,2704.0,1311.0,3.0,1.0,27.0,0.53,0.15,0.26,0.03,0.02,28328,2171,2472,1450,21299325,18845785,0.16699999999999998,410.1256,20690183,3982411,5411340,4720704,5,0.0,6.0,1041,19.9,53,43,32,29
Georgia,10736059,89.2,13050862.0,0.0206,0.968,48.2,20.0,9,96.9,73.8,92.4,97.6,98.5,6.7,15.0,1571.0,1216.0,30.0,25.0,31.0,0.52,0.31,0.1,0.04,0.02,10443,815,801,596,10519475,9711810,0.1055,186.6719,6274833,1392935,849054,708207,26,6.0,4.0,1000,21.4,65,49,40,39
