"State","avgCost","Pop"
"Michigan",2484,10045029
"Louisiana",2190,4645184
"Florida",1823,21992985
"Connecticut",1771,3563077
"New York",1759,19440469
"Kentucky",1752,4499692
"Nevada",1746,3139658
"Rhode Island",1688,1056161
"Delaware",1646,982895
"Oklahoma",1643,3954821
"California",1527,39937489
"Pennsylvania",1522,12820878
"Wyoming",1494,567025
"Hawaii",1458,1412687
"Colorado",1435,5845526
"Maryland",1390,6083116
"West Virginia",1375,1778070
"Arkansas",1370,3038999
"Arizona",1353,7378494
"Wisconsin",1351,5851754
"New Jersey",1346,8936574
"Georgia",1340,10736059
"Mississippi",1323,2989260
"North Dakota",1315,761723
"Texas",1300,29472295
"Alabama",1299,4908621
"Oregon",1264,4301089
"South Carolina",1260,5210095
"New Mexico",1253,2096640
"Kansas",1242,2910357
"Montana",1224,1086759
"Tennessee",1214,6897576
"Vermont",1199,628061
"Utah",1199,3282115
"Washington",1191,7797095
"Massachusetts",1191,6976597
"Minnesota",1187,5700671
"Missouri",1154,6169270
"Nebraska",1113,1952570
"Alaska",1109,734002
"New Hampshire",1101,1371246
"South Dakota",1059,903027
"Iowa",1015,3179849
"Illinois",1004,12659682
"Virginia",972,8626207
"Indiana",964,6745354
"North Carolina",960,10611862
"Ohio",952,11747694
"Idaho",941,1826156
"Maine",925,1345790
