"State",	"OutdoorRecreation",	"Private",	"Manufacturing",	"Retail",	"Property",	"IndoorRecreation",	"Food",	"OtherPrivate",	"Government"
"Alabama",	"2083927",	"1836504",	"167396",	"656008",	"35002",	"206113",	"383589",	"388396",	"247424"
"Alaska",	"1030701",	"855609",	"13367",	"202798",	"10053",	"100387",	"202056",	"326951",	"175091"
"Arizona",	"4327385",	"3911667",	"171258",	"1033321",	"87207",	"748683",	"881278",	"989922",	"415717"
"Arkansas",	"1390053",	"1234191",	"228658",	"380557",	"15676",	"155889",	"196088",	"257324",	"155862"
"California",	"27383466",	"24223717",	"2139669",	"5804727",	"429890",	"5275931",	"3432888",	"7140612",	"3159749"
"Colorado",	"5963912",	"5294002",	"186924",	"1200145",	"210520",	"1269076",	"1098658",	"1328679",	"669910"
"Connecticut",	"1923607",	"1756921",	"163870",	"523014",	"68330",	"339726",	"213537",	"448444",	"166686"
"Delaware",	"611026",	"570365",	"25609",	"222975",	"10668",	"62596",	"169369",	"76035",	"40661"
"District of Columbia",	"977279",	"751938",	"-1",	"128943",	"6099",	"137529",	"338136",	"-1",	"225341"
"Florida",	"20690183",	"19566765",	"529000",	"3982411",	"298301",	"5411340",	"4720704",	"4625008",	"1123418"
"Georgia",	"6274833",	"5687701",	"541765",	"1392935",	"92768",	"849054",	"708207",	"2102973",	"587132"
"Hawaii",	"2437813",	"2237381",	"27906",	"351466",	"26970",	"217816",	"668783",	"944442",	"200432"
"Idaho",	"1182979",	"1071911",	"123291",	"379802",	"19116",	"161860",	"172278",	"215563",	"111069"
"Illinois",	"7737696",	"6571896",	"731439",	"1547051",	"178949",	"1197759",	"653786",	"2262912",	"1165800"
"Indiana",	"4486832",	"4236457",	"1955843",	"853596",	"52943",	"475626",	"262233",	"636216",	"250375"
"Iowa",	"1634494",	"1474390",	"342683",	"459026",	"26988",	"193816",	"152537",	"299340",	"160103"
"Kansas",	"1425887",	"1238015",	"215912",	"410667",	"19322",	"149186",	"173319",	"269609",	"187872"
"Kentucky",	"1973149",	"1771477",	"207078",	"528650",	"38676",	"301065",	"244352",	"451655",	"201673"
"Louisiana",	"2588692",	"2263917",	"294475",	"613824",	"34860",	"322617",	"285247",	"712896",	"324775"
"Maine",	"1373098",	"1293114",	"157644",	"313821",	"34284",	"182207",	"478538",	"126619",	"79984"
"Maryland",	"3746066",	"3167505",	"118826",	"935491",	"69292",	"601959",	"633175",	"808763",	"578561"
"Massachusetts",	"4907443",	"4546628",	"487878",	"1056129",	"111983",	"958112",	"693052",	"1239475",	"360815"
"Michigan",	"4755614",	"4419974",	"412051",	"1363076",	"100435",	"827337",	"600975",	"1116101",	"335640"
"Minnesota",	"4505794",	"3945849",	"646592",	"969545",	"103269",	"643558",	"333420",	"1249465",	"559945"
"Mississippi",	"1119665",	"984995",	"162806",	"376121",	"12568",	"88970",	"167905",	"176625",	"134670"
"Missouri",	"3586118",	"3203870",	"462395",	"891515",	"57478",	"700363",	"380455",	"711664",	"382248"
"Montana",	"1068201",	"978075",	"55391",	"256506",	"13520",	"198144",	"250047",	"204467",	"90125"
"Nebraska",	"1095738",	"985653",	"168047",	"288977",	"20613",	"127509",	"132343",	"248163",	"110085"
"Nevada",	"2239107",	"1961778",	"37992",	"556264",	"29493",	"294709",	"385311",	"658010",	"277329"
"New Hampshire",	"1315354",	"1255150",	"120739",	"399670",	"38796",	"198070",	"299392",	"198483",	"60205"
"New Jersey",	"6070879",	"5380208",	"361543",	"1523860",	"139805",	"1032284",	"722952",	"1599764",	"690671"
"New Mexico",	"1167986",	"966658",	"27915",	"325587",	"22621",	"126951",	"303237",	"160347",	"201328"
"New York",	"14178838",	"12108598",	"702857",	"3093606",	"244301",	"2314439",	"1618258",	"4135136",	"2070240"
"North Carolina",	"5758490",	"5212748",	"434113",	"1411882",	"82776",	"1034961",	"979248",	"1269768",	"545743"
"North Dakota",	"542894",	"449310",	"19467",	"174464",	"6340",	"54058",	"64121",	"130861",	"93585"
"Ohio",	"5348251",	"4529076",	"484790",	"1365860",	"130263",	"1070871",	"365465",	"1111828",	"819174"
"Oklahoma",	"1793835",	"1594219",	"129849",	"526156",	"33557",	"272265",	"188872",	"443519",	"199616"
"Oregon",	"3583571",	"3180745",	"274546",	"860625",	"44450",	"374616",	"633061",	"993446",	"402826"
"Pennsylvania",	"6826124",	"6021655",	"617055",	"1553903",	"164706",	"1415369",	"643184",	"1627438",	"804469"
"Rhode Island",	"748122",	"710837",	"39611",	"171309",	"13368",	"121237",	"228240",	"124185",	"37284"
"South Carolina",	"3466434",	"3154607",	"384565",	"869506",	"41835",	"358725",	"1073339",	"426636",	"311827"
"South Dakota",	"615661",	"520305",	"35646",	"176065",	"5796",	"59883",	"138167",	"104746",	"95356"
"Tennessee",	"3707056",	"3375504",	"374536",	"988271",	"57641",	"589153",	"662672",	"703232",	"331551"
"Texas",	"14285680",	"13073825",	"1267875",	"3940372",	"248482",	"2286128",	"1161087",	"4169882",	"1211855"
"Utah",	"2844732",	"2539561",	"229323",	"726438",	"67217",	"448569",	"438367",	"629647",	"305171"
"Vermont",	"612583",	"580133",	"44766",	"175469",	"13435",	"56407",	"205948",	"84109",	"32449"
"Virginia",	"4795163",	"4106889",	"146074",	"1202353",	"70598",	"694592",	"831889",	"1161383",	"688274"
"Washington",	"5850632",	"5153886",	"537080",	"1375660",	"73490",	"711594",	"727135",	"1728927",	"696746"
"West Virginia",	"688507",	"600895",	"19219",	"242725",	"9992",	"81427",	"134336",	"113192",	"87612"
"Wisconsin",	"3889401",	"3591160",	"886836",	"830992",	"74788",	"634183",	"376684",	"787679",	"298240"
"Wyoming",	"829955",	"702435",	"-1",	"189858",	"4664",	"68739",	"317546",	"-1",	"127520"
