"ESTABLISHMENT DATA
 SEASONALLY ADJUSTED
 Table 3.  Employees on nonfarm payrolls by state and selected industry sector, seasonally adjusted",,,,,,,,,,,,
[In thousands],,,,,,,,,,,,
,,,,,,,,,,,,
State,Total(1),,,,Construction,,,,Manufacturing,,,
,"Apr.
2019","Feb.
2020","Mar.
2020","Apr.
2020(p)","Apr.
2019","Feb.
2020","Mar.
2020","Apr.
2020(p)","Apr.
2019","Feb.
2020","Mar.
2020","Apr.
2020(p)"
,,,,,,,,,,,,
Alabama,2067.4,2085.0,2076.6,1866.2,93.1,94.7,94.3,89.1,268.2,270.7,273.1,248.2
Alaska,329.9,329.8,325.7,281.9,16.5,16.5,16.4,13.2,12.8,12.1,11.6,10.8
Arizona,2915.3,2986.4,2964.5,2676.9,169.1,174.7,172.7,169.1,176.5,177.7,177.0,174.8
Arkansas,1277.8,1281.6,1272.0,1169.9,52.8,53.7,54.5,52.8,162.5,160.2,158.8,150.6
California,17373.3,17604.5,17394.0,15049.3,879.5,896.9,878.5,746.4,1327.1,1315.7,1303.7,1185.0
,,,,,,,,,,,,
Colorado,2769.6,2813.4,2796.9,2473.4,177.7,179.7,178.8,166.1,149.7,150.6,149.9,139.6
Connecticut,1687.9,1699.5,1677.4,1411.1,60.7,60.5,60.2,49.6,162.0,162.5,162.8,149.5
Delaware(2),465.5,472.4,465.3,390.6,22.9,23.2,23.0,20.9,27.4,27.0,26.8,24.4
District of Columbia(2),796.4,803.9,801.2,734.3,14.8,14.8,14.7,13.5,1.4,1.4,1.3,1.2
Florida,8920.7,9071.6,8976.3,7910.2,560.2,583.7,582.3,559.3,382.5,388.7,389.1,357.6
,,,,,,,,,,,,
Georgia,4599.6,4652.1,4618.6,4126.5,202.9,204.8,204.8,193.4,407.4,402.4,400.0,360.4
Hawaii(2),653.7,658.1,654.3,532.5,37.4,38.0,38.2,37.4,14.1,14.0,14.0,10.8
Idaho,755.9,771.8,767.2,687.7,52.0,54.4,54.8,52.1,69.0,68.3,68.1,66.7
Illinois,6121.5,6121.8,6060.9,5298.7,229.4,226.6,223.3,200.7,588.7,576.2,573.9,522.9
Indiana,3165.3,3179.6,3147.2,2744.8,145.7,152.3,149.1,133.3,543.6,535.1,527.9,449.7
,,,,,,,,,,,,
Iowa,1586.5,1581.3,1572.4,1395.3,78.0,78.0,77.0,69.7,226.2,223.6,223.1,212.5
Kansas,1425.7,1434.3,1422.9,1292.5,65.5,66.6,66.9,61.2,167.5,168.3,168.5,158.1
Kentucky,1937.2,1947.0,1926.9,1637.3,79.9,80.3,80.0,73.4,252.3,251.7,251.3,196.8
Louisiana,1994.2,1995.0,1960.7,1721.1,145.2,140.6,138.3,121.6,137.9,135.0,135.6,125.1
Maine,634.5,637.3,630.1,531.7,29.5,30.2,29.8,28.1,53.0,53.2,53.6,44.8
,,,,,,,,,,,,
Maryland,2768.0,2797.1,2766.3,2417.0,165.5,173.2,173.2,158.6,112.6,113.8,113.3,98.9
Massachusetts,3683.8,3712.6,3668.8,3045.8,162.5,163.3,161.8,101.8,244.3,245.2,243.3,221.9
Michigan,4430.9,4461.5,4422.8,3413.8,171.2,182.2,178.5,100.0,629.9,623.7,618.6,444.6
Minnesota,2972.9,2977.6,2949.8,2590.0,123.7,125.5,125.1,114.1,324.3,323.1,321.7,298.1
Mississippi,1156.3,1163.2,1154.7,1037.7,43.5,42.8,42.2,41.0,146.7,148.2,147.6,136.4
,,,,,,,,,,,,
Missouri,2901.8,2912.6,2878.1,2573.3,126.9,130.7,128.9,117.9,277.5,277.3,274.6,239.6
Montana,482.6,489.4,488.6,426.4,29.5,31.4,31.4,29.8,21.1,20.5,20.3,18.2
Nebraska,1025.0,1037.2,1030.0,943.7,53.1,55.4,55.3,54.1,99.6,99.5,99.4,96.4
Nevada,1414.6,1426.3,1404.6,1159.8,95.0,99.4,103.3,95.5,59.4,59.3,58.9,54.6
New Hampshire,684.3,690.3,680.3,572.5,27.5,29.1,29.3,26.1,71.7,71.4,71.0,65.3
,,,,,,,,,,,,
New Jersey,4193.4,4241.9,4166.8,3409.1,160.0,166.6,166.2,122.4,252.1,253.0,253.0,219.1
New Mexico,853.7,866.7,862.1,764.5,48.7,52.8,54.4,49.4,28.4,29.4,28.7,23.6
New York,9800.7,9847.3,9723.1,7895.8,408.7,411.0,407.0,240.8,441.8,438.8,437.5,357.2
North Carolina,4564.2,4612.0,4567.7,3996.0,230.6,231.9,231.5,219.0,477.7,477.8,472.7,421.5
North Dakota,439.6,441.1,439.3,396.8,28.0,29.6,29.3,28.5,26.4,26.1,25.8,25.0
,,,,,,,,,,,,
Ohio,5592.1,5599.1,5539.1,4715.4,227.2,229.1,227.2,187.8,702.8,700.2,698.1,601.8
Oklahoma,1704.2,1700.7,1686.9,1556.1,83.0,81.2,80.8,76.2,141.7,138.1,135.6,130.2
Oregon,1935.7,1955.7,1942.5,1689.1,108.3,110.8,111.5,99.5,198.5,195.0,194.7,183.1
Pennsylvania,6058.2,6109.6,6038.3,5014.2,261.7,266.2,259.6,158.7,576.7,576.6,573.2,499.2
Rhode Island,503.5,508.4,498.5,409.7,20.2,20.3,20.1,17.4,39.8,39.4,39.4,37.2
,,,,,,,,,,,,
South Carolina,2179.6,2217.1,2197.7,1925.0,106.5,109.9,109.0,102.9,258.1,258.2,258.4,245.5
South Dakota,438.5,444.3,441.0,405.0,23.0,24.4,24.7,25.2,45.1,44.0,43.7,43.2
Tennessee,3111.9,3158.1,3147.8,2770.9,129.7,128.4,129.0,125.3,355.2,355.2,351.7,302.9
Texas,12738.6,13016.8,12926.9,11628.0,767.5,797.0,791.5,729.0,904.8,911.5,906.2,861.9
Utah,1555.2,1587.4,1582.7,1446.1,107.8,114.0,113.0,111.2,136.6,136.1,135.8,134.0
,,,,,,,,,,,,
Vermont,316.8,314.0,309.4,248.7,15.4,14.7,14.7,7.9,29.9,29.6,29.4,24.6
Virginia,4049.2,4099.9,4067.4,3684.0,202.6,203.6,203.4,196.2,244.4,241.7,240.1,233.8
Washington,3456.9,3520.8,3495.4,2968.4,219.0,226.5,228.8,147.8,293.6,293.7,291.5,264.0
West Virginia,722.8,711.4,709.5,619.4,36.9,33.1,32.9,30.3,47.3,46.3,46.3,43.6
Wisconsin,2984.0,2993.7,2967.8,2528.4,123.8,127.2,127.5,116.4,484.9,482.9,482.9,442.1
Wyoming,289.8,288.5,286.6,263.8,22.6,22.3,22.0,21.5,10.2,10.2,10.1,10.0
,,,,,,,,,,,,
Puerto Rico,877.5,885.0,884.9,788.8,26.6,25.7,25.3,18.5,74.9,75.4,74.9,71.3
Virgin Islands(3),36.5,38.4,38.3,35.2,3.4,4.0,4.0,3.9,–,–,–,–
,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,
"(1) Includes mining and logging, information, and other services (except public administration), not shown separately.",,,,,,,,,,,,
(2) Mining and logging is combined with construction.,,,,,,,,,,,,
"(3) Missing series (denoted by '-') are not published seasonally adjusted because the seasonal component, which is small relative to the trend-cycle and irregular components, cannot be separated with sufficient precision.",,,,,,,,,,,,
(p) Preliminary,,,,,,,,,,,,
NOTE: Data are counts of jobs by place of work. Estimates are currently estimated from 2019 benchmark levels. Estimates subsequent to the current benchmarks are preliminary and will be revised when new information becomes available.,,,,,,,,,,,,
,,,,,,,,,,,,
State,"Trade, transportation, and utilities",,,,Financial activities,,,,Professional and business services,,,
